SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	container_description
8	Dry	Seco	DC	Standard	NEW	Nuevo	8DC NEW	15	size > 8PIES; Condition > NEW; general > Dry > DC	8DCNEW_1, 8DCNEW_2, 8DCNEW_3, 8DCNEW_4	2,43	2,59	2,2	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica, disponemos de varios colores, aunque, al ser tan especiales, suelen hacerse por encargo.
10	Dry	Seco	DC	Standard	NEW	Nuevo	10DC NEW	27	size > 10PIES; Condition > NEW; general > Dry > DC	10DCNEW_1, 10DCNEW_2, 10DCNEW_3, 10DCNEW_4	2,43	2,59	3,02	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica, disponemos de varios colores, aunque, al ser tan especiales, suelen hacerse por encargo.
20	Dry	Seco	DC	Standard	CW	Apto para carga 	20DC CW	37	size > 20PIES; Condition > CW; general > Dry > DC	2ODCCW_1, 2ODCCW_2, 2ODCCW_3, 2ODCCW_4, 2ODCCW_5	2,43	2,59	6,05	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
20	Dry	Seco	DC	Standard	NEW	Nuevo	20DC NEW	39	size > 20PIES; Condition > NEW; general > Dry > DC	20DCNEW_1, 20DCNEW_2, 20DCNEW_3	2,43	2,59	6,05	Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
20	Dry	Seco	DC	Standard	IICL	IICL	20DC IICL	41	size > 20PIES; Condition > IICL; general > Dry > DC	20DCIICL_1, 20DCIICL_2, 20DCIICL_3	2,43	2,59	6,05	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. La condicion IICL tiene como diferencia un certificado, suelen ser del 2010 al 2012
20	Dry	Seco	DC	Standard	SCRAP	Chatarra	20DC SCRAP	42	size > 20PIES; Condition > SCRAP; general > Dry > DC		2,43	2,59	6,05	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
20	Dry	Seco	HC	High Cube	NEW	Nuevo	20HC NEW	45	size > 20PIES; Condition > NEW; general > Dry > HC	20HCNEW_1, 20HCNEW_2, 20HCNEW_3	2,43	2,89	6,05	Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
20	Reefer	Refrigerado	RF	Reefer Standard	CW	Apto para carga 	20RF CW	55	size > 20PIES; Condition > CW; general > Reefer > RF	20RFCW_1	2,43	2,59	6,05	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
20	Reefer	Refrigerado	RF	Reefer Standard	ASIS	Almacenaje / Modificarlo y reutilizar	20RF ASIS	56	size > 20PIES; Condition > ASIS; general > Reefer > RF	RF20_1	2,43	2,59	6,05	Contenedores utilizados para almacenar mercaderia donde por diferente motivos, su temperatura debe ser menor a la normal y los contenedores que denominamos"secos" no cuentan con el aislamiento que permita esto. Los contenedores contenedores no tienen el motor funcionando pero si tiene la estructura en optimas condiciones. 
20	Reefer	Refrigerado	RF	Reefer Standard	NEW	Nuevo	20RF NEW	57	size > 20PIES; Condition > NEW; general > Reefer > RF	RF20_3	2,43	2,59	6,05	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
