SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	Peso	Tara	container_description
20	Special	Special | Especiales	OT	Open Top	ASIS	Almacenaje / Modificacion | Storage	20OT ASIS	70	size > 20PIES; Condition > ASIS; general > Special > OT		2.43	2.59	6.05			Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga dimensionada o bien, cargar por arriba la mercaderia y no necesariamente por las puertas.
20	Special	Special | Especiales	OT	Open Top	NEW	Nuevo | NEW	20OT NEW	71	size > 20PIES; Condition > NEW; general > Special > OT		2.43	2.59	6.05			Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga dimensionada o bien, cargar por arriba la mercaderia y no necesariamente por las puertas.
20	Special	Special | Especiales	OT	Open Top	REBUILT	Carga | Cargo Worthy	20OT REBUILT	72	size > 20PIES; Condition > REBUILT; general > Special > OT		2.43	2.59	6.05			Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga dimensionada o bien, cargar por arriba la mercaderia y no necesariamente por las puertas.
20	Special	Special | Especiales	TK	Tank	CW	Carga | Cargo Worthy	20TK CW	73	size > 20PIES; Condition > CW; general > Special > TK		2.43	2.59	6.05			Contenedores para transporte de liquidos o a granel
20	Special	Special | Especiales	TK	Tank	ASIS	Almacenaje / Modificacion | Storage	20TK ASIS	74	size > 20PIES; Condition > ASIS; general > Special > TK		2.43	2.59	6.05			Estos contenedores estan en condicion sin revisar, recomendamos siempre optar por los aptos para carga, que permitiran utilizarlos para exportacion.
20	Special	Special | Especiales	TK	Tank	NEW	Nuevo | NEW	20TK NEW	75	size > 20PIES; Condition > NEW; general > Special > TK		2.43	2.59	6.05			Contenedores para transporte de liquidos o a granel
20	Special	Special | Especiales	DC DD	Standard Double Door	CW	Carga | Cargo Worthy	20DC DD CW	76	size > 20PIES; Condition > CW; general > Special > DC DD		2.43	2.59	6.05			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
20	Special	Special | Especiales	DC DD	Standard Double Door	NEW	Nuevo | NEW	20DC DD NEW	77	size > 20PIES; Condition > NEW; general > Special > DC DD		2.43	2.59	6.05			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
20	Special	Special | Especiales	DC DD	Standard Double Door	1st Voyage	1er viaje | 1st voyage	20DC DD 1st Voyage	78	size > 20PIES; Condition > 1st Voyage; general > Special > DC DD		2.43	2.59	6.05			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
20	Special	Special | Especiales	HC DD	High Cube Double Door	CW	Carga | Cargo Worthy	20HC DD CW	79	size > 20PIES; Condition > CW; general > Special > HC DD		2.43	2.89	6.05			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
